id,url,status_code,latency,extract_method,page_type,content_length
128,http://www.ipsen.com/czc,200,3.01,trafilatura,html,1985
129,https://www.actu-transport-logistique.fr/npi-magazine/thematiques/environnement/index_22.php,200,2.65,trafilatura,html,257
130,https://paper.sciencenet.cn/htmlpaper/2025/5/2025516102630498133048.shtm,200,30.04,trafilatura,html,18239
131,http://www.macrotellect.com,200,31.24,Selenium,html,1190
132,https://data.worldbank.org/indicator/NY.GNS.ICTR.ZS?locations=XO-CN,200,26.06,Selenium,html,13371
133,https://docs.adyen.com/api-explorer/Management/3/overview,200,3.04,trafilatura,html,3925
134,https://www.numomfg.com/materials/neoprene,200,1.47,trafilatura,html,133
135,https://www.tradingview.com/symbols/UMAUSDT/ideas/?sort=recent,200,1.82,trafilatura,html,24513
136,https://www.vtc.edu.hk/home/sc/about-us/governance-structure/training-boards.html,200,6.77,trafilatura,html,345
137,https://www.dhl.de/de/privatkunden.html?piececode=JVGL06048987243745031001,200,0.79,trafilatura,html,260
138,http://view.com/blog,200,2.63,trafilatura,html,1624
139,https://www.tumelo.com/insights/what-is-pass-through-voting,200,1.28,trafilatura,html,3669
140,https://manual.blackvue.com/docs/dr750x-2ch-lte-plus/optional-accessories/parking-mode-battery-optional/,200,2.1,trafilatura,docs,999
141,http://www.order.co/blog/,200,6.0,trafilatura,article,482
142,https://www.canva.com/templates/s/market-research/,200,21.94,Selenium,html,2374
143,https://docs.nillion.com/pynadac,404,11.54,Selenium,error,330
144,https://www.productboard.com/events/5-26-roadmaps/,404,10.05,Selenium,error,254
145,https://www.leximmo.be/nl/te-huur/kantoorruimte/boom/3634035,404,12.736385107040405,Selenium,error,0
146,https://support.opencare.com/hc/en-us/articles/360045229431-Is-this-a-scam,200,11.59,Selenium,html,1301
147,https://www.haust.edu.cn/xxgk/kdjj.htm,200,20.58,Selenium,html,2255
148,https://news.mingpao.com/pns/%e6%b8%af%e8%81%9e/article/20250615/s00002/1749923763383/%e5%b7%9d%e9%be%8d%e8%a1%97%e7%88%86%e6%b0%b4%e7%ae%a1-%e6%b0%b4%e6%9f%b110%e7%b1%b3%e9%ab%98,403,19.09,Selenium,error,347
149,http://angels-inc.com/crowdfunding/,200,3.53,trafilatura,html,911
150,https://wowwiki.fandom.com/wiki/%22Swamp_Eye%22_Chain_Sash,403,14.56,Selenium,error,290
151,https://www.dearjohndenim.com/collections/shop-all-clothing/products/puja-novelty-top-leopard-safari,200,1.49,trafilatura,html,956
152,https://www.navit.com/en/car-subscription,200,0.95,trafilatura,html,2602
153,https://www.gov.uk/government/publications/uk-trade-tariff-transit-shed-operators,200,2.96,trafilatura,html,4708
154,https://www.castorama.pl/search?term=5902004711263,200,2.01,trafilatura,html,272
155,https://datapath.com/category/news/product/c%E2%80%90series-portables/,200,17.15,Selenium,article,890
156,https://mommypoppins.com/washington-dc-kids/event/events/pancake-breakfast-with-santa-claus-at-avfrd,403,12.7,Selenium,error,335
157,https://find-and-update.company-information.service.gov.uk/company/02963993,200,2.32,trafilatura,html,840
158,https://travelcards.cardratings.com/,200,2.14,trafilatura,html,2337
159,https://www.toa.co.jp/works/transport,200,2.12,trafilatura,html,1422
160,https://www.brightdentalhospital.com/about-us/,200,4.51,trafilatura,html,1462
161,http://www.sunherald.com/news/local/crime/article211576929.html,200,25.1,Selenium,article,2575
